Cue,Answer,starting_time_limit,reduce_time,iframe_src,
O|U|R|P|G,GROUP,10000,500,http://www.psych.uncc.edu/pagoolka/TypeAB.html,
K|E|A|R|M,MAKER,10000,500,,
E|C|R|K|W,WRECK,10000,500,,
U|M|H|B|T,THUMB,10000,500,,
N|C|A|Y|F,FANCY,10000,500,,
I|F|N|E|K,KNIFE,10000,500,,
O|A|L|K|C,CLOAK,10000,500,,
N|C|U|E|O,OUNCE,10000,500,,
A|N|R|T|G,GRANT,10000,500,,
V|E|O|A|F,FOVEA,10000,500,,
N|I|A|C|P,PANIC,10000,500,,
A|K|L|E|F,FLAKE,10000,500,,
J|O|A|R|M,MAJOR,10000,500,,
G|I|O|C|L,LOGIC,10000,500,,
A|W|R|L|B,BRAWL,10000,500,,
R|C|E|H|P,PERCH,10000,500,,
L|O|I|T|P,PILOT,10000,500,,
D|K|O|A|V,VODKA,10000,500,,
A|F|R|T|C,CRAFT,10000,500,,
P|E|I|R|V,VIPER,10000,500,,
,,,,,