item_name,text,Type,Answers,Values,Score: bfi_neuroticism_total,Optional,
Instructions1,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please select the option that reflects the extent to which you agree or disagree with that statement. <br><br><b>I see myself as someone who…</b>",Instruct,,,,,
NE1,"Is depressed, blue",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,No,
NE2,"Is relaxed, handles stress well",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,5|4|3|2|1,1,No,
NE3,Can be tense,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,No,
NE4,Worries a lot,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,No,
NE5,"Is emotionally stable, not easily upset",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,5|4|3|2|1,1,No,
NE6,Can be moody,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,No,
NE7,Remains calm in tense situations,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,5|4|3|2|1,1,No,
NE8,Gets nervous easily,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,No,
,,,,,,,